Akarere,Intara,BCG_%,Polio3_%,DTP3_%,Measles_%,HPV_%,COVID19_%,Abana_Bateganyirijwe,Abana_Bahawe
Gasabo,Kigali,98.2,96.4,97.1,95.8,82.3,71.4,18234,17821
Kicukiro,Kigali,97.8,95.9,96.7,95.2,81.7,70.8,9841,9612
Nyarugenge,Kigali,97.5,95.6,96.3,94.8,80.9,69.7,8734,8512
Burera,Amajyaruguru,96.1,93.8,94.6,92.4,76.2,61.3,8923,8584
Gakenke,Amajyaruguru,95.8,93.4,94.2,91.9,75.8,60.7,8412,8072
Gicumbi,Amajyaruguru,96.3,94.1,94.9,92.7,76.8,62.1,9812,9456
Musanze,Amajyaruguru,97.1,95.2,95.9,94.1,78.4,63.9,9234,8956
Rulindo,Amajyaruguru,95.6,93.2,93.9,91.6,75.1,59.8,6234,5956
Gisagara,Amajyepfo,95.2,92.8,93.5,91.1,74.6,59.2,7823,7444
Huye,Amajyepfo,96.4,94.2,95.0,92.8,77.1,62.4,8234,7934
Kamonyi,Amajyepfo,95.9,93.6,94.4,92.1,76.3,61.5,7934,7613
Muhanga,Amajyepfo,96.2,94.0,94.8,92.6,76.9,62.2,7956,7651
Nyamagabe,Amajyepfo,95.1,92.7,93.4,91.0,74.3,58.9,7723,7344
Nyanza,Amajyepfo,95.7,93.3,94.1,91.8,75.4,60.2,7812,7481
Nyaruguru,Amajyepfo,94.8,92.4,93.1,90.6,73.8,58.4,6823,6476
Ruhango,Amajyepfo,95.5,93.1,93.8,91.4,75.0,59.7,7923,7563
Bugesera,Iburasirazuba,96.0,93.7,94.5,92.2,76.5,61.8,10612,10187
Gatsibo,Iburasirazuba,95.4,93.0,93.7,91.3,74.8,59.4,8423,8035
Kayonza,Iburasirazuba,95.3,92.9,93.6,91.1,74.5,59.1,7823,7443
Kirehe,Iburasirazuba,95.2,92.8,93.5,91.0,74.3,58.9,7934,7542
Ngoma,Iburasirazuba,95.8,93.4,94.2,91.9,75.6,60.4,7212,6910
Nyagatare,Iburasirazuba,96.1,93.8,94.6,92.4,76.3,61.4,10812,10398
Rwamagana,Iburasirazuba,96.3,94.1,94.9,92.7,76.8,62.1,7934,7656
Karongi,Iburengerazuba,95.5,93.1,93.8,91.4,74.9,59.6,7823,7475
Ngororero,Iburengerazuba,95.1,92.7,93.4,91.0,74.2,58.8,7634,7252
Nyabihu,Iburengerazuba,95.4,93.0,93.7,91.2,74.7,59.3,7034,6706
Nyamasheke,Iburengerazuba,95.3,92.9,93.6,91.1,74.4,59.0,8023,7629
Rubavu,Iburengerazuba,97.0,95.0,95.8,93.9,78.1,63.6,9712,9399
Rutsiro,Iburengerazuba,94.9,92.5,93.2,90.7,73.9,58.5,7034,6679
Rusizi,Iburengerazuba,96.5,94.3,95.1,92.9,77.4,62.7,9412,9082
