Akarere,Intara,Imodoka_Byose,Imodoka_Ubwoko_Saloon,Imodoka_Nini_Camion,Imodoka_Moto,Bisi,Ibindi_Bicombozi
Gasabo,Kigali,29126,1683,2657,5841,1619,303
Kicukiro,Kigali,11647,506,4141,6131,1296,26
Nyarugenge,Kigali,7826,1437,756,5056,46,483
Bugesera,Uburasirazuba,28749,1773,3693,2773,1420,105
Gatsibo,Uburasirazuba,14672,8530,2249,1388,676,81
Kayonza,Uburasirazuba,2148,10442,3156,1072,1653,55
Kirehe,Uburasirazuba,9253,7770,4190,1220,1826,16
Ngoma,Uburasirazuba,13100,2381,3294,1884,1760,195
Nyagatare,Uburasirazuba,26584,12377,606,1439,238,55
Rwamagana,Uburasirazuba,28697,5488,3097,1034,1848,460
Burera,Amajyaruguru,26919,9146,931,4290,1207,341
Gakenke,Amajyaruguru,4931,10075,1542,6558,709,56
Gicumbi,Amajyaruguru,27528,9993,4667,6504,1428,42
Musanze,Amajyaruguru,564,14009,785,5281,654,198
Rulindo,Amajyaruguru,21779,11826,2418,631,1164,479
Gisagara,Amajyepfo,8715,1538,4974,1536,782,163
Huye,Amajyepfo,13003,10462,2099,6368,680,402
Kamonyi,Amajyepfo,19791,3839,2122,4027,1076,268
Muhanga,Amajyepfo,24731,5892,2925,3432,1164,348
Nyamagabe,Amajyepfo,22574,10605,1214,122,1987,13
Nyanza,Amajyepfo,16972,14372,4608,570,711,425
Nyaruguru,Amajyepfo,26069,12321,1508,1238,1709,486
Ruhango,Amajyepfo,27432,3788,4147,541,292,481
Karongi,Uburengerazuba,21266,5786,180,7722,755,352
Ngororero,Uburengerazuba,20051,1291,4195,6976,79,185
Nyabihu,Uburengerazuba,2830,1340,2867,6528,316,95
Nyamasheke,Uburengerazuba,22434,11271,3507,2466,834,171
Rubavu,Uburengerazuba,23551,10489,1469,1331,1764,20
Rutsiro,Uburengerazuba,22658,7648,103,6678,1366,438
Rusizi,Uburengerazuba,16847,12476,4599,4064,1424,214
