Akarere,Intara,Amazi_Meza_%,Isuku_%,Amazi_Kuruganda_%,Isuku_Byihuta_%
Gasabo,Kigali,0.814,0.624,64,46
Kicukiro,Kigali,0.77,0.631,45,33
Nyarugenge,Kigali,0.747,0.651,28,45
Bugesera,Uburasirazuba,0.821,0.635,74,67
Gatsibo,Uburasirazuba,0.812,0.624,30,23
Kayonza,Uburasirazuba,0.79,0.676,69,22
Kirehe,Uburasirazuba,0.807,0.649,76,63
Ngoma,Uburasirazuba,0.775,0.692,62,54
Nyagatare,Uburasirazuba,0.792,0.686,67,20
Rwamagana,Uburasirazuba,0.737,0.644,42,29
Burera,Amajyaruguru,0.736,0.651,43,41
Gakenke,Amajyaruguru,0.736,0.683,25,70
Gicumbi,Amajyaruguru,0.816,0.662,58,42
Musanze,Amajyaruguru,0.785,0.679,87,41
Rulindo,Amajyaruguru,0.811,0.665,44,43
Gisagara,Amajyepfo,0.745,0.606,27,72
Huye,Amajyepfo,0.764,0.671,57,22
Kamonyi,Amajyepfo,0.755,0.644,52,46
Muhanga,Amajyepfo,0.746,0.637,41,38
Nyamagabe,Amajyepfo,0.764,0.66,79,55
Nyanza,Amajyepfo,0.737,0.609,70,29
Nyaruguru,Amajyepfo,0.802,0.666,87,71
Ruhango,Amajyepfo,0.763,0.658,30,34
Karongi,Uburengerazuba,0.827,0.67,49,51
Ngororero,Uburengerazuba,0.824,0.631,48,65
Nyabihu,Uburengerazuba,0.811,0.667,82,61
Nyamasheke,Uburengerazuba,0.799,0.653,68,39
Rubavu,Uburengerazuba,0.766,0.636,33,24
Rutsiro,Uburengerazuba,0.825,0.649,36,19
Rusizi,Uburengerazuba,0.738,0.684,27,63
