Akarere,Intara,Amazi_Meza_%,Amazi_Isoko_Nziza_%,Ubwiherero_Bwizewe_%,Gukaraba_Intoki_%,Inzu_Zifite_Amazi,Inzu_Zose,Abaturage_Bafite_Amazi
Gasabo,Kigali,97.8,94.2,99.1,96.4,179234,184320,728412
Kicukiro,Kigali,97.2,93.7,98.8,95.9,95812,98741,395634
Nyarugenge,Kigali,96.9,93.2,98.5,95.4,85734,89012,352341
Burera,Amajyaruguru,84.3,72.4,88.6,79.2,64234,76234,319812
Gakenke,Amajyaruguru,83.1,70.8,87.4,77.9,59034,71203,297234
Gicumbi,Amajyaruguru,85.6,73.9,89.8,80.7,73634,86012,362734
Musanze,Amajyaruguru,88.2,77.3,91.4,83.6,70934,80431,350234
Rulindo,Amajyaruguru,82.4,69.7,86.7,77.1,44534,54012,219812
Gisagara,Amajyepfo,80.7,67.9,85.1,75.4,55434,68741,274234
Huye,Amajyepfo,85.3,73.6,89.5,80.4,61634,72341,305634
Kamonyi,Amajyepfo,83.8,71.4,87.9,78.6,56934,68012,284812
Muhanga,Amajyepfo,84.6,72.8,88.7,79.7,58334,69012,290812
Nyamagabe,Amajyepfo,80.2,67.3,84.6,74.8,54534,68012,270934
Nyanza,Amajyepfo,82.9,70.4,87.1,77.7,56234,67831,280634
Nyaruguru,Amajyepfo,79.4,66.4,83.8,73.9,48134,60712,239634
Ruhango,Amajyepfo,83.4,71.1,87.6,78.3,57934,69412,287312
Bugesera,Iburasirazuba,85.9,74.2,90.1,81.2,78934,92012,395312
Gatsibo,Iburasirazuba,82.7,70.1,86.9,77.5,60834,73612,303234
Kayonza,Iburasirazuba,81.9,69.2,86.1,76.7,56034,68412,279812
Kirehe,Iburasirazuba,82.1,69.4,86.3,76.9,57134,69612,284812
Ngoma,Iburasirazuba,83.6,71.2,87.8,78.5,52434,62812,261912
Nyagatare,Iburasirazuba,86.4,74.8,90.7,81.9,82634,95612,412734
Rwamagana,Iburasirazuba,85.1,73.3,89.3,80.2,58634,69012,292312
Karongi,Iburengerazuba,81.3,68.6,85.5,75.9,55634,68412,277434
Ngororero,Iburengerazuba,80.4,67.6,84.7,74.9,54234,67612,270834
Nyabihu,Iburengerazuba,81.7,69.0,86.0,76.4,50834,62412,253534
Nyamasheke,Iburengerazuba,80.8,68.0,85.0,75.2,57834,71612,288234
Rubavu,Iburengerazuba,89.1,78.4,92.3,85.1,76234,85612,381034
Rutsiro,Iburengerazuba,79.6,66.7,84.0,74.1,49934,62812,248634
Rusizi,Iburengerazuba,87.3,76.1,91.2,83.4,72834,83612,363034
