Akarere,Intara,Ubuso_Ibirarane_ha,Uruhare_Ibirarane_%,Ibirarane_Birinzwe_ha,Ibirarane_Bihinduwe_ha,Amashami_Amazi
Gasabo,Kigali,5949,0.156,3204,2935,142
Kicukiro,Kigali,1535,0.142,1960,670,447
Nyarugenge,Kigali,13755,0.111,7047,2311,215
Bugesera,Uburasirazuba,701,0.149,6603,2824,246
Gatsibo,Uburasirazuba,6311,0.145,5767,2636,413
Kayonza,Uburasirazuba,12401,0.122,4100,1087,309
Kirehe,Uburasirazuba,12238,0.128,3680,130,45
Ngoma,Uburasirazuba,9695,0.111,6349,451,212
Nyagatare,Uburasirazuba,9498,0.06,749,515,267
Rwamagana,Uburasirazuba,14551,0.143,6128,2548,349
Burera,Amajyaruguru,11931,0.061,3879,2218,145
Gakenke,Amajyaruguru,10374,0.142,6416,636,218
Gicumbi,Amajyaruguru,2891,0.15,7563,2658,127
Musanze,Amajyaruguru,14232,0.158,5212,1898,455
Rulindo,Amajyaruguru,14617,0.042,5639,547,212
Gisagara,Amajyepfo,6547,0.052,803,1135,474
Huye,Amajyepfo,1936,0.125,3537,2763,237
Kamonyi,Amajyepfo,10169,0.029,5737,612,433
Muhanga,Amajyepfo,11775,0.056,4003,434,431
Nyamagabe,Amajyepfo,9081,0.169,2335,2047,220
Nyanza,Amajyepfo,6246,0.033,2392,822,316
Nyaruguru,Amajyepfo,13628,0.069,5505,1401,24
Ruhango,Amajyepfo,2171,0.062,5574,2076,362
Karongi,Uburengerazuba,10685,0.128,2124,331,48
Ngororero,Uburengerazuba,5126,0.048,7274,2990,470
Nyabihu,Uburengerazuba,14514,0.106,6011,184,141
Nyamasheke,Uburengerazuba,9370,0.058,3218,1144,484
Rubavu,Uburengerazuba,8481,0.103,2156,1536,466
Rutsiro,Uburengerazuba,13192,0.031,2606,1614,88
Rusizi,Uburengerazuba,1929,0.017,1110,2621,420
