Akarere,Intara,Uruhare_Abagore_Inama_Njyanama_%,Uruhare_Abagore_Imirimo_%,Abagore_Inzego_z_Ubuyobozi,Abagore_Inzego_za_Sektora,Abagore_Abayobozi_b_Inzego
Gasabo,Kigali,0.63,0.466,41,24,73
Kicukiro,Kigali,0.63,0.507,59,5,99
Nyarugenge,Kigali,0.662,0.55,50,15,73
Bugesera,Uburasirazuba,0.563,0.675,23,25,28
Gatsibo,Uburasirazuba,0.67,0.633,43,3,87
Kayonza,Uburasirazuba,0.504,0.552,26,29,69
Kirehe,Uburasirazuba,0.705,0.678,35,11,71
Ngoma,Uburasirazuba,0.747,0.619,26,16,35
Nyagatare,Uburasirazuba,0.659,0.479,52,13,21
Rwamagana,Uburasirazuba,0.676,0.575,49,25,73
Burera,Amajyaruguru,0.587,0.471,12,21,36
Gakenke,Amajyaruguru,0.493,0.485,46,22,10
Gicumbi,Amajyaruguru,0.668,0.574,42,29,23
Musanze,Amajyaruguru,0.735,0.537,51,27,18
Rulindo,Amajyaruguru,0.742,0.475,7,29,68
Gisagara,Amajyepfo,0.628,0.672,39,13,13
Huye,Amajyepfo,0.522,0.552,42,28,68
Kamonyi,Amajyepfo,0.563,0.603,48,20,79
Muhanga,Amajyepfo,0.709,0.593,20,20,43
Nyamagabe,Amajyepfo,0.486,0.451,31,20,55
Nyanza,Amajyepfo,0.457,0.573,36,9,77
Nyaruguru,Amajyepfo,0.688,0.475,31,20,49
Ruhango,Amajyepfo,0.621,0.455,8,27,81
Karongi,Uburengerazuba,0.505,0.633,6,17,58
Ngororero,Uburengerazuba,0.694,0.552,33,18,74
Nyabihu,Uburengerazuba,0.687,0.461,46,29,90
Nyamasheke,Uburengerazuba,0.504,0.58,14,17,82
Rubavu,Uburengerazuba,0.487,0.462,16,6,60
Rutsiro,Uburengerazuba,0.705,0.439,58,16,42
Rusizi,Uburengerazuba,0.613,0.536,56,2,37
