Akarere,Intara,Umubare_Inzego_Urubyiruko,Urubyiruko_Bigira_Amahugurwa,Amahugurwa_Yatanzwe,Imikino_y_Ingoro,Abateze_Imikino
Gasabo,Kigali,2,1078,331,16,4570
Kicukiro,Kigali,1,1134,66,7,5269
Nyarugenge,Kigali,3,1136,84,15,2364
Bugesera,Uburasirazuba,1,374,740,13,3733
Gatsibo,Uburasirazuba,2,2918,704,6,6691
Kayonza,Uburasirazuba,4,2224,547,10,1074
Kirehe,Uburasirazuba,2,525,978,13,7115
Ngoma,Uburasirazuba,2,2942,124,18,6119
Nyagatare,Uburasirazuba,2,164,952,6,5396
Rwamagana,Uburasirazuba,4,2526,461,4,1937
Burera,Amajyaruguru,2,979,538,17,2328
Gakenke,Amajyaruguru,4,1185,499,15,3777
Gicumbi,Amajyaruguru,3,2357,313,14,5034
Musanze,Amajyaruguru,4,2066,309,9,640
Rulindo,Amajyaruguru,2,476,303,12,7819
Gisagara,Amajyepfo,2,741,67,7,977
Huye,Amajyepfo,2,2164,835,12,5260
Kamonyi,Amajyepfo,2,1228,933,2,3054
Muhanga,Amajyepfo,2,1388,488,15,2079
Nyamagabe,Amajyepfo,3,2051,292,2,6892
Nyanza,Amajyepfo,4,1931,583,8,2056
Nyaruguru,Amajyepfo,4,1170,327,7,5558
Ruhango,Amajyepfo,1,1912,208,8,3736
Karongi,Uburengerazuba,4,167,974,12,4180
Ngororero,Uburengerazuba,1,2771,175,12,6872
Nyabihu,Uburengerazuba,1,733,992,12,1839
Nyamasheke,Uburengerazuba,1,2354,747,9,3563
Rubavu,Uburengerazuba,4,1312,619,7,3223
Rutsiro,Uburengerazuba,1,2665,962,15,2883
Rusizi,Uburengerazuba,3,1237,866,10,3979
