Akarere,Intara,Urubyiruko_15_35,Urubyiruko_Bashaka_Akazi_%,Urubyiruko_Bafite_Akazi_%,Imirimo_Mishya,Sosiyete_z_Urubyiruko
Gasabo,Kigali,105757,0.163,0.306,706,24
Kicukiro,Kigali,147804,0.185,0.38,4293,25
Nyarugenge,Kigali,90720,0.145,0.351,6946,9
Bugesera,Uburasirazuba,291814,0.245,0.479,9058,15
Gatsibo,Uburasirazuba,137876,0.225,0.536,4307,1
Kayonza,Uburasirazuba,163417,0.254,0.516,9669,28
Kirehe,Uburasirazuba,75569,0.264,0.476,1733,10
Ngoma,Uburasirazuba,288775,0.264,0.343,7775,24
Nyagatare,Uburasirazuba,148439,0.103,0.25,1901,26
Rwamagana,Uburasirazuba,104359,0.086,0.321,2431,3
Burera,Amajyaruguru,88525,0.207,0.504,4055,14
Gakenke,Amajyaruguru,116519,0.164,0.456,7138,27
Gicumbi,Amajyaruguru,207162,0.236,0.462,7749,3
Musanze,Amajyaruguru,55980,0.223,0.29,7845,27
Rulindo,Amajyaruguru,249541,0.216,0.377,4241,3
Gisagara,Amajyepfo,156726,0.218,0.426,2606,18
Huye,Amajyepfo,234996,0.144,0.352,8320,18
Kamonyi,Amajyepfo,230471,0.253,0.444,1811,6
Muhanga,Amajyepfo,79145,0.157,0.352,6713,13
Nyamagabe,Amajyepfo,99789,0.147,0.496,830,28
Nyanza,Amajyepfo,138086,0.103,0.455,8425,14
Nyaruguru,Amajyepfo,43139,0.207,0.28,8693,24
Ruhango,Amajyepfo,23422,0.134,0.422,4147,14
Karongi,Uburengerazuba,156119,0.262,0.371,7827,9
Ngororero,Uburengerazuba,92421,0.197,0.431,8122,14
Nyabihu,Uburengerazuba,124391,0.165,0.351,5582,11
Nyamasheke,Uburengerazuba,239938,0.266,0.41,4142,20
Rubavu,Uburengerazuba,62108,0.137,0.53,6106,6
Rutsiro,Uburengerazuba,247593,0.216,0.386,961,9
Rusizi,Uburengerazuba,54034,0.168,0.36,8947,20
